question,ground_truth,contexts,evolution_type
"Hoạt động đầu tư có dòng tiền âm 200 tỷ — điều này nên hiểu thế nào?","Dòng tiền đầu tư âm thường cho thấy công ty đang mở rộng đầu tư tài sản dài hạn, có thể là tín hiệu tích cực nếu doanh nghiệp đang trong giai đoạn tăng trưởng.","['Dòng tiền từ hoạt động đầu tư âm 200 tỷ chủ yếu do chi mua sắm TSCĐ và đầu tư vào công ty con.']",reasoning
"Một tổ chức xử lý dữ liệu mà không có sự đồng ý hợp lệ, hậu quả pháp lý là gì?","Vi phạm quy định bảo vệ dữ liệu cá nhân, có thể bị xử phạt hành chính, đình chỉ xử lý, yêu cầu xóa dữ liệu và bồi thường thiệt hại; trường hợp nghiêm trọng có thể bị truy cứu trách nhiệm hình sự.","['Vi phạm về thu thập, xử lý dữ liệu không có cơ sở pháp lý sẽ bị xử lý theo pháp luật chuyên ngành.']",reasoning
"Nếu lợi nhuận gộp tăng 18% mà chi phí quản lý cũng tăng 22%, hiệu quả vận hành có cải thiện không?","Hiệu quả vận hành không cải thiện vì chi phí quản lý đang tăng nhanh hơn lợi nhuận gộp, làm thu hẹp biên hoạt động.","['Lợi nhuận gộp tăng 18%, chi phí bán hàng và quản lý tăng 22%.']",reasoning
"Vì sao công ty phát hành thêm trái phiếu 300 tỷ trong năm?","Có thể để tài trợ cho hoạt động mở rộng đầu tư TSCĐ (dòng tiền đầu tư âm 200 tỷ) và đảo nợ lãi suất cao bằng nguồn vốn mới.","['Trong năm công ty phát hành 300 tỷ trái phiếu doanh nghiệp với kỳ hạn 3 năm.']",reasoning
"Khi xảy ra rò rỉ dữ liệu, doanh nghiệp phải làm gì theo Nghị định 13?","Phải thông báo cho Bộ Công an trong vòng 72 giờ kể từ khi phát hiện, đồng thời thông báo cho chủ thể dữ liệu bị ảnh hưởng và đưa ra biện pháp khắc phục.","['Bên Kiểm soát dữ liệu cá nhân phải thông báo vi phạm cho cơ quan có thẩm quyền trong vòng 72 giờ.']",reasoning
"Hệ số thanh toán hiện thời 0.8 phản ánh điều gì?","Hệ số dưới 1 cho thấy tài sản ngắn hạn không đủ trang trải nợ ngắn hạn, doanh nghiệp có thể gặp khó khăn trong thanh toán nợ đến hạn.","['Hệ số khả năng thanh toán hiện thời = Tài sản ngắn hạn / Nợ ngắn hạn = 0.8.']",reasoning
"Nếu thuế suất TNDN là 20% và lợi nhuận trước thuế 100 tỷ, lợi nhuận sau thuế là bao nhiêu?","Lợi nhuận sau thuế = 100 - 20 = 80 tỷ đồng.","['Mức thuế suất thuế TNDN hiện hành 20% được áp dụng cho doanh nghiệp.']",reasoning
"Doanh nghiệp xử lý dữ liệu nhạy cảm cần bổ sung biện pháp gì so với dữ liệu cơ bản?","Cần có sự đồng ý rõ ràng bằng văn bản, đánh giá tác động chi tiết, mã hóa dữ liệu, hạn chế truy cập và giám sát liên tục.","['Dữ liệu cá nhân nhạy cảm phải có sự đồng ý riêng biệt và biện pháp bảo vệ tăng cường.']",reasoning
"So sánh quyền truy cập dữ liệu trong Nghị định 13 với GDPR, có điểm nào tương đồng?","Cả hai đều cho phép chủ thể dữ liệu truy cập, yêu cầu chỉnh sửa, xóa dữ liệu của mình; tuy nhiên thời hạn phản hồi và phạm vi áp dụng có thể khác nhau.","['Nghị định 13 quy định quyền truy cập dữ liệu của chủ thể, tương tự GDPR của EU.']",reasoning
"Đánh giá kết quả tài chính dựa trên cả báo cáo BCTC và Nghị định 13: doanh nghiệp cần ưu tiên đầu tư vào đâu?","Cần đầu tư vào hệ thống bảo vệ dữ liệu (compliance Nghị định 13) và đồng thời kiểm soát chi phí tài chính (do D/E cao). Hai khoản chi phí compliance và lãi vay đang ảnh hưởng tới lợi nhuận.","['BCTC cho thấy lãi vay tăng 45%, Nghị định 13 yêu cầu đầu tư compliance bảo vệ dữ liệu.']",multi_context
"Khi rò rỉ dữ liệu xảy ra, doanh nghiệp phải vừa khắc phục theo Nghị định 13 vừa ghi nhận trong BCTC ra sao?","Phải thông báo trong 72h theo Nghị định 13 và ghi nhận khoản dự phòng chi phí khắc phục, bồi thường vào báo cáo kết quả kinh doanh và thuyết minh BCTC.","['Nghị định 13 yêu cầu thông báo 72h khi rò rỉ; BCTC quy định ghi nhận dự phòng nghĩa vụ pháp lý.']",multi_context
"Khoản chi phí cho hệ thống bảo vệ dữ liệu cá nhân nên được phân loại vào đâu trong BCTC?","Nếu là đầu tư hạ tầng dài hạn — ghi vào TSCĐ vô hình (phần mềm); nếu là chi phí vận hành định kỳ — ghi vào chi phí quản lý doanh nghiệp.","['BCTC phân loại chi phí thành CAPEX (đầu tư TSCĐ) và OPEX (chi phí hoạt động).']",multi_context
"Việc chuyển dữ liệu cá nhân ra nước ngoài có ảnh hưởng đến chi phí hoạt động kinh doanh được phản ánh trong BCTC không?","Có, vì doanh nghiệp phải lập hồ sơ đánh giá tác động, có thể thuê chuyên gia tư vấn, đầu tư hạ tầng — các chi phí này ghi vào chi phí quản lý hoặc TSCĐ vô hình.","['Nghị định 13 yêu cầu lập hồ sơ đánh giá tác động khi chuyển dữ liệu xuyên biên giới; BCTC ghi nhận chi phí compliance.']",multi_context
"Phân tích mối liên hệ giữa biên lợi nhuận giảm và yêu cầu đầu tư bảo vệ dữ liệu mới?","Biên lợi nhuận giảm do chi phí tăng (bao gồm chi phí tài chính + chi phí compliance mới); doanh nghiệp cần lập kế hoạch phân bổ vốn cho cả 2 mảng để không ảnh hưởng đến kết quả kinh doanh ngắn hạn.","['Lợi nhuận sau thuế giảm 8%; Nghị định 13 yêu cầu đầu tư hạ tầng compliance mới.']",multi_context
"Trường hợp doanh nghiệp niêm yết bị xử phạt vi phạm dữ liệu, công bố thông tin và ghi nhận BCTC ra sao?","Phải công bố thông tin bất thường cho UBCK trong 24h (theo quy định CBTT), đồng thời ghi nhận tiền phạt và bồi thường vào chi phí khác trên báo cáo kết quả kinh doanh.","['Nghị định 13 quy định xử phạt; quy định CBTT yêu cầu công bố thông tin bất thường; BCTC ghi nhận chi phí phạt.']",multi_context
"Nếu một công ty con ở nước ngoài xử lý dữ liệu của công dân Việt, ai phải chịu trách nhiệm và phản ánh trong BCTC hợp nhất ra sao?","Công ty mẹ và công ty con cùng chịu trách nhiệm; chi phí compliance ghi nhận trên BCTC hợp nhất; các giao dịch nội bộ liên quan tới chuyển dữ liệu cần được thuyết minh.","['Nghị định 13 áp dụng cho cả tổ chức trong và ngoài nước; BCTC hợp nhất bao gồm cả công ty con nước ngoài.']",multi_context
"Việc thuê dịch vụ điện toán đám mây để lưu dữ liệu có cần đăng ký theo Nghị định 13 và phản ánh chi phí ra sao?","Có thể cần đánh giá tác động và đăng ký nếu liên quan đến chuyển dữ liệu xuyên biên giới; chi phí thuê cloud ghi vào chi phí dịch vụ mua ngoài.","['Nghị định 13 quy định đăng ký xử lý dữ liệu; BCTC ghi nhận chi phí thuê dịch vụ.']",multi_context
"Một khoản đầu tư công nghệ bảo vệ dữ liệu 50 tỷ ảnh hưởng thế nào tới chỉ số tài chính như ROA, ROE?","ROA và ROE có thể giảm trong ngắn hạn do tăng tổng tài sản hoặc tăng chi phí khấu hao; tuy nhiên dài hạn giúp giảm rủi ro pháp lý, cải thiện ổn định lợi nhuận.","['ROA = LNST/Tổng tài sản; đầu tư TSCĐ làm tăng tổng tài sản. Nghị định 13 yêu cầu đầu tư bảo vệ dữ liệu.']",multi_context
"Khoản chi phí đào tạo nhân viên về tuân thủ Nghị định 13 nên phản ánh ở đâu?","Ghi nhận vào chi phí quản lý doanh nghiệp, hạch toán theo kỳ phát sinh.","['BCTC: chi phí quản lý doanh nghiệp bao gồm chi phí đào tạo nhân viên; Nghị định 13 khuyến nghị đào tạo định kỳ.']",multi_context
"Kết hợp thông tin BCTC + Nghị định 13: doanh nghiệp nên ưu tiên xếp hạng rủi ro nào cao nhất?","Rủi ro tài chính (D/E cao, dòng tiền đầu tư âm lớn) và rủi ro tuân thủ dữ liệu là 2 nhóm rủi ro ưu tiên cao nhất, cần kế hoạch quản trị tích hợp.","['BCTC cho thấy đòn bẩy tài chính cao; Nghị định 13 đặt ra rủi ro pháp lý mới.']",multi_context
"Nếu rò rỉ dữ liệu dẫn đến kiện tụng, doanh nghiệp xử lý kế toán khoản dự phòng thế nào và thông báo theo Nghị định 13 ra sao?","Lập dự phòng phải trả ngắn hạn hoặc dài hạn tùy thời hạn; thông báo 72h cho cơ quan có thẩm quyền và chủ thể dữ liệu; thuyết minh chi tiết trong BCTC.","['Quy định kế toán: dự phòng nợ phải trả; Nghị định 13: thông báo 72h khi rò rỉ.']",multi_context
"Mức độ trưởng thành về bảo vệ dữ liệu của doanh nghiệp có thể đánh giá qua chỉ số nào trong BCTC?","Không có chỉ số trực tiếp, nhưng có thể quan sát qua: chi phí đầu tư công nghệ thông tin trong TSCĐ vô hình, chi phí thuê dịch vụ bảo mật, dự phòng nợ phải trả liên quan tới rủi ro pháp lý.","['BCTC: TSCĐ vô hình bao gồm phần mềm; Nghị định 13 yêu cầu đầu tư công nghệ bảo vệ.']",multi_context
"Tỷ lệ đầu tư cho compliance dữ liệu cá nhân chiếm bao nhiêu % chi phí quản lý là hợp lý?","Theo benchmark ngành tài chính-ngân hàng, khoảng 5-10% chi phí quản lý dành cho compliance & rủi ro là mức hợp lý cho doanh nghiệp đang chuyển đổi số.","['BCTC: chi phí quản lý; Nghị định 13: yêu cầu đầu tư compliance.']",multi_context
"Khi doanh nghiệp M&A một công ty xử lý nhiều dữ liệu cá nhân, due diligence cần kiểm tra gì?","Cần kiểm tra: tình hình tuân thủ Nghị định 13, hồ sơ đánh giá tác động, lịch sử rò rỉ, hợp đồng xử lý dữ liệu với bên thứ ba; đồng thời thẩm định tài sản và nợ tiềm tàng (contingent liabilities) trong BCTC.","['M&A due diligence bao gồm: kiểm tra pháp lý (compliance Nghị định 13) và tài chính (BCTC, nợ tiềm tàng).']",multi_context
"Nếu công ty con vi phạm bảo vệ dữ liệu, công ty mẹ cần ghi nhận khoản nào trên BCTC hợp nhất?","Ghi nhận khoản tiền phạt, bồi thường vào chi phí khác; lập dự phòng nợ phải trả nếu vụ việc đang trong quá trình giải quyết; công bố trong thuyết minh BCTC theo nguyên tắc trung thực.","['Nghị định 13: trách nhiệm liên đới công ty mẹ-con; BCTC hợp nhất: ghi nhận chi phí và dự phòng.']",multi_context
"Doanh nghiệp niêm yết phải báo cáo về compliance dữ liệu ra sao trong báo cáo thường niên?","Phải báo cáo trong phần quản trị rủi ro của Báo cáo thường niên, bao gồm: chính sách bảo vệ dữ liệu, sự cố trong năm, biện pháp khắc phục, kế hoạch đầu tư tiếp theo, kèm chi phí trong BCTC.","['Báo cáo thường niên: phần quản trị rủi ro; Nghị định 13: yêu cầu báo cáo định kỳ; BCTC: kê khai chi phí.']",multi_context
