question,answer,contexts,ground_truth,evolution_type,faithfulness,answer_relevancy,context_precision,context_recall
Ai có thẩm quyền xử lý vi phạm về bảo vệ dữ liệu cá nhân?,[Generated answer for: Ai có thẩm quyền xử lý vi phạm về bảo vệ dữ liệu cá nhân?...],['Bộ Công an được giao thẩm quyền chủ trì xử lý vi phạm về bảo vệ dữ liệu cá nhân.'],"Bộ Công an là cơ quan đầu mối, các bộ ngành phối hợp; xử lý hành chính theo nghị định chuyên ngành.",simple,0.8298,0.7998,0.733,0.8599
Thời hạn lưu trữ dữ liệu cá nhân tối đa là bao nhiêu?,[Generated answer for: Thời hạn lưu trữ dữ liệu cá nhân tối đa là bao nhiêu?...],['Dữ liệu cá nhân được lưu trữ tối đa trong thời gian cần thiết để hoàn thành mục đích thu thập.'],"Thời hạn lưu trữ phải phù hợp với mục đích xử lý và không vượt quá thời hạn do pháp luật quy định, sau đó phải xóa hoặc ẩn danh.",simple,0.86,1.0,0.6981,0.7321
Chi phí tài chính trong BCTC bao gồm gì?,[Generated answer for: Chi phí tài chính trong BCTC bao gồm gì?...],['Chi phí tài chính chủ yếu là chi phí lãi vay phát sinh từ các khoản vay ngân hàng và phát hành trái phiếu.'],"Chi phí tài chính bao gồm chi phí lãi vay, lỗ tỷ giá, lỗ từ đầu tư tài chính và các chi phí tài chính khác.",simple,0.9415,0.9495,0.8306,0.8869
EBITDA là gì?,[Generated answer for: EBITDA là gì?...],['EBITDA = Lợi nhuận trước thuế + Lãi vay + Khấu hao tài sản cố định + Khấu hao tài sản vô hình.'],"EBITDA là lợi nhuận trước lãi vay, thuế và khấu hao.",simple,0.9941,0.8434,0.6377,0.7774
Cơ cấu vốn của công ty được mô tả thế nào?,[Generated answer for: Cơ cấu vốn của công ty được mô tả thế nào?...],['Tỷ lệ Nợ/Vốn chủ sở hữu (D/E) phản ánh mức độ đòn bẩy tài chính.'],"Cơ cấu vốn gồm tỷ lệ giữa nợ vay và vốn chủ sở hữu, đo bằng tỷ số D/E.",simple,0.9562,0.7489,0.7834,0.8403
Quyền rút lại sự đồng ý của chủ thể dữ liệu có hiệu lực khi nào?,[Generated answer for: Quyền rút lại sự đồng ý của chủ thể dữ liệu có hiệu lực khi ...],"['Việc rút lại sự đồng ý phải được thực hiện đơn giản, không kèm điều kiện, có hiệu lực ngay sau khi nhận được yêu cầu.']",Có hiệu lực ngay sau khi chủ thể dữ liệu thông báo bằng văn bản hoặc phương tiện điện tử cho bên xử lý dữ liệu.,simple,0.8548,0.9007,0.8381,1.0
Tiền và tương đương tiền cuối kỳ là bao nhiêu?,[Generated answer for: Tiền và tương đương tiền cuối kỳ là bao nhiêu?...],"['Số dư tiền và tương đương tiền cuối năm đạt 320 tỷ đồng, tăng nhẹ so với đầu năm.']",Tiền và tương đương tiền cuối kỳ đạt khoảng 320 tỷ đồng.,simple,0.9296,0.8073,0.7238,0.7535
Tài sản cố định hữu hình của công ty trị giá bao nhiêu?,[Generated answer for: Tài sản cố định hữu hình của công ty trị giá bao nhiêu?...],"['TSCĐ hữu hình bao gồm nhà xưởng, máy móc thiết bị, giá trị còn lại 480 tỷ đồng sau khấu hao.']",Giá trị còn lại của TSCĐ hữu hình khoảng 480 tỷ đồng.,simple,0.9562,0.8103,0.773,0.8799
Tại sao lợi nhuận gộp tăng nhưng lợi nhuận sau thuế lại giảm trong năm?,[Generated answer for: Tại sao lợi nhuận gộp tăng nhưng lợi nhuận sau thuế lại giảm...],"['Lợi nhuận gộp tăng 18% nhờ kiểm soát giá vốn, nhưng chi phí lãi vay tăng 45% và chi phí quản lý tăng 22% đã làm giảm lợi nhuận ròng.']",Vì chi phí tài chính tăng mạnh (do lãi vay tăng) và chi phí quản lý doanh nghiệp tăng đã làm giảm lợi nhuận sau thuế dù lợi nhuận gộp cải thiện.,reasoning,0.7132,0.7506,0.459,0.6009
"So sánh tốc độ tăng trưởng doanh thu và tốc độ tăng trưởng lợi nhuận, cho biết điều này nói lên điều gì?",[Generated answer for: So sánh tốc độ tăng trưởng doanh thu và tốc độ tăng trưởng l...],"['Doanh thu thuần tăng 12%, trong khi lợi nhuận sau thuế giảm 8% so với năm trước.']","Doanh thu tăng 12% nhưng lợi nhuận giảm 8% cho thấy biên lợi nhuận đang co lại, có thể do chi phí đầu vào hoặc chi phí tài chính tăng nhanh hơn.",reasoning,0.7319,0.8216,0.8232,0.718
"Nếu một bên xử lý dữ liệu nước ngoài thu thập dữ liệu công dân Việt Nam, họ cần làm gì?",[Generated answer for: Nếu một bên xử lý dữ liệu nước ngoài thu thập dữ liệu công d...],['Tổ chức nước ngoài có hoạt động xử lý dữ liệu cá nhân của công dân Việt Nam phải tuân thủ quy định về chuyển dữ liệu xuyên biên giới và lập hồ sơ đánh giá tác động.'],"Phải tuân thủ Nghị định 13: thông báo cho cơ quan có thẩm quyền, lập đánh giá tác động chuyển dữ liệu xuyên biên giới, có cam kết bảo vệ dữ liệu và đăng ký theo quy định.",reasoning,0.8314,0.7968,0.8102,0.8183
Vì sao D/E ratio cao có thể là dấu hiệu rủi ro?,[Generated answer for: Vì sao D/E ratio cao có thể là dấu hiệu rủi ro?...],"['Tỷ lệ D/E cao đồng nghĩa với đòn bẩy tài chính lớn, tăng rủi ro tài chính khi điều kiện vĩ mô bất lợi.']","Vì D/E cao cho thấy công ty phụ thuộc nhiều vào nợ vay, dễ bị tổn thương khi lãi suất tăng hoặc dòng tiền yếu đi, dẫn đến rủi ro không thanh toán được nợ.",reasoning,0.8328,0.6789,0.7884,0.7619
Hoạt động đầu tư có dòng tiền âm 200 tỷ — điều này nên hiểu thế nào?,[Generated answer for: Hoạt động đầu tư có dòng tiền âm 200 tỷ — điều này nên hiểu ...],['Dòng tiền từ hoạt động đầu tư âm 200 tỷ chủ yếu do chi mua sắm TSCĐ và đầu tư vào công ty con.'],"Dòng tiền đầu tư âm thường cho thấy công ty đang mở rộng đầu tư tài sản dài hạn, có thể là tín hiệu tích cực nếu doanh nghiệp đang trong giai đoạn tăng trưởng.",reasoning,0.9472,0.777,0.9144,0.6805
"Một tổ chức xử lý dữ liệu mà không có sự đồng ý hợp lệ, hậu quả pháp lý là gì?","[Generated answer for: Một tổ chức xử lý dữ liệu mà không có sự đồng ý hợp lệ, hậu ...]","['Vi phạm về thu thập, xử lý dữ liệu không có cơ sở pháp lý sẽ bị xử lý theo pháp luật chuyên ngành.']","Vi phạm quy định bảo vệ dữ liệu cá nhân, có thể bị xử phạt hành chính, đình chỉ xử lý, yêu cầu xóa dữ liệu và bồi thường thiệt hại; trường hợp nghiêm trọng có thể bị truy cứu trách nhiệm hình sự.",reasoning,0.9912,0.7915,0.618,0.5959
"Nếu lợi nhuận gộp tăng 18% mà chi phí quản lý cũng tăng 22%, hiệu quả vận hành có cải thiện không?","[Generated answer for: Nếu lợi nhuận gộp tăng 18% mà chi phí quản lý cũng tăng 22%,...]","['Lợi nhuận gộp tăng 18%, chi phí bán hàng và quản lý tăng 22%.']","Hiệu quả vận hành không cải thiện vì chi phí quản lý đang tăng nhanh hơn lợi nhuận gộp, làm thu hẹp biên hoạt động.",reasoning,0.7819,0.9223,0.778,0.7958
Vì sao công ty phát hành thêm trái phiếu 300 tỷ trong năm?,[Generated answer for: Vì sao công ty phát hành thêm trái phiếu 300 tỷ trong năm?...],['Trong năm công ty phát hành 300 tỷ trái phiếu doanh nghiệp với kỳ hạn 3 năm.'],Có thể để tài trợ cho hoạt động mở rộng đầu tư TSCĐ (dòng tiền đầu tư âm 200 tỷ) và đảo nợ lãi suất cao bằng nguồn vốn mới.,reasoning,0.5149,0.8511,0.7467,0.6595
"Khi xảy ra rò rỉ dữ liệu, doanh nghiệp phải làm gì theo Nghị định 13?","[Generated answer for: Khi xảy ra rò rỉ dữ liệu, doanh nghiệp phải làm gì theo Nghị...]",['Bên Kiểm soát dữ liệu cá nhân phải thông báo vi phạm cho cơ quan có thẩm quyền trong vòng 72 giờ.'],"Phải thông báo cho Bộ Công an trong vòng 72 giờ kể từ khi phát hiện, đồng thời thông báo cho chủ thể dữ liệu bị ảnh hưởng và đưa ra biện pháp khắc phục.",reasoning,0.7247,0.7798,0.887,0.6039
Hệ số thanh toán hiện thời 0.8 phản ánh điều gì?,[Generated answer for: Hệ số thanh toán hiện thời 0.8 phản ánh điều gì?...],['Hệ số khả năng thanh toán hiện thời = Tài sản ngắn hạn / Nợ ngắn hạn = 0.8.'],"Hệ số dưới 1 cho thấy tài sản ngắn hạn không đủ trang trải nợ ngắn hạn, doanh nghiệp có thể gặp khó khăn trong thanh toán nợ đến hạn.",reasoning,0.7487,0.9162,0.6265,0.6799
"Nếu thuế suất TNDN là 20% và lợi nhuận trước thuế 100 tỷ, lợi nhuận sau thuế là bao nhiêu?","[Generated answer for: Nếu thuế suất TNDN là 20% và lợi nhuận trước thuế 100 tỷ, lợ...]",['Mức thuế suất thuế TNDN hiện hành 20% được áp dụng cho doanh nghiệp.'],Lợi nhuận sau thuế = 100 - 20 = 80 tỷ đồng.,reasoning,0.8117,0.6559,0.7064,0.5869
Doanh nghiệp xử lý dữ liệu nhạy cảm cần bổ sung biện pháp gì so với dữ liệu cơ bản?,[Generated answer for: Doanh nghiệp xử lý dữ liệu nhạy cảm cần bổ sung biện pháp gì...],['Dữ liệu cá nhân nhạy cảm phải có sự đồng ý riêng biệt và biện pháp bảo vệ tăng cường.'],"Cần có sự đồng ý rõ ràng bằng văn bản, đánh giá tác động chi tiết, mã hóa dữ liệu, hạn chế truy cập và giám sát liên tục.",reasoning,0.9062,0.7803,0.954,0.7509
"So sánh quyền truy cập dữ liệu trong Nghị định 13 với GDPR, có điểm nào tương đồng?","[Generated answer for: So sánh quyền truy cập dữ liệu trong Nghị định 13 với GDPR, ...]","['Nghị định 13 quy định quyền truy cập dữ liệu của chủ thể, tương tự GDPR của EU.']","Cả hai đều cho phép chủ thể dữ liệu truy cập, yêu cầu chỉnh sửa, xóa dữ liệu của mình; tuy nhiên thời hạn phản hồi và phạm vi áp dụng có thể khác nhau.",reasoning,0.9639,0.6497,0.6653,0.7555
Đánh giá kết quả tài chính dựa trên cả báo cáo BCTC và Nghị định 13: doanh nghiệp cần ưu tiên đầu tư vào đâu?,[Generated answer for: Đánh giá kết quả tài chính dựa trên cả báo cáo BCTC và Nghị ...],"['BCTC cho thấy lãi vay tăng 45%, Nghị định 13 yêu cầu đầu tư compliance bảo vệ dữ liệu.']",Cần đầu tư vào hệ thống bảo vệ dữ liệu (compliance Nghị định 13) và đồng thời kiểm soát chi phí tài chính (do D/E cao). Hai khoản chi phí compliance và lãi vay đang ảnh hưởng tới lợi nhuận.,multi_context,0.9819,0.4815,0.6986,0.7028
"Khi rò rỉ dữ liệu xảy ra, doanh nghiệp phải vừa khắc phục theo Nghị định 13 vừa ghi nhận trong BCTC ra sao?","[Generated answer for: Khi rò rỉ dữ liệu xảy ra, doanh nghiệp phải vừa khắc phục th...]",['Nghị định 13 yêu cầu thông báo 72h khi rò rỉ; BCTC quy định ghi nhận dự phòng nghĩa vụ pháp lý.'],"Phải thông báo trong 72h theo Nghị định 13 và ghi nhận khoản dự phòng chi phí khắc phục, bồi thường vào báo cáo kết quả kinh doanh và thuyết minh BCTC.",multi_context,0.95,0.7926,0.5578,0.547
Khoản chi phí cho hệ thống bảo vệ dữ liệu cá nhân nên được phân loại vào đâu trong BCTC?,[Generated answer for: Khoản chi phí cho hệ thống bảo vệ dữ liệu cá nhân nên được p...],['BCTC phân loại chi phí thành CAPEX (đầu tư TSCĐ) và OPEX (chi phí hoạt động).'],Nếu là đầu tư hạ tầng dài hạn — ghi vào TSCĐ vô hình (phần mềm); nếu là chi phí vận hành định kỳ — ghi vào chi phí quản lý doanh nghiệp.,multi_context,0.5328,0.7254,0.5212,0.9028
Việc chuyển dữ liệu cá nhân ra nước ngoài có ảnh hưởng đến chi phí hoạt động kinh doanh được phản ánh trong BCTC không?,[Generated answer for: Việc chuyển dữ liệu cá nhân ra nước ngoài có ảnh hưởng đến c...],['Nghị định 13 yêu cầu lập hồ sơ đánh giá tác động khi chuyển dữ liệu xuyên biên giới; BCTC ghi nhận chi phí compliance.'],"Có, vì doanh nghiệp phải lập hồ sơ đánh giá tác động, có thể thuê chuyên gia tư vấn, đầu tư hạ tầng — các chi phí này ghi vào chi phí quản lý hoặc TSCĐ vô hình.",multi_context,0.6283,0.7417,0.3146,0.5646
Phân tích mối liên hệ giữa biên lợi nhuận giảm và yêu cầu đầu tư bảo vệ dữ liệu mới?,[Generated answer for: Phân tích mối liên hệ giữa biên lợi nhuận giảm và yêu cầu đầ...],['Lợi nhuận sau thuế giảm 8%; Nghị định 13 yêu cầu đầu tư hạ tầng compliance mới.'],Biên lợi nhuận giảm do chi phí tăng (bao gồm chi phí tài chính + chi phí compliance mới); doanh nghiệp cần lập kế hoạch phân bổ vốn cho cả 2 mảng để không ảnh hưởng đến kết quả kinh doanh ngắn hạn.,multi_context,0.7592,0.8071,0.7672,0.6138
"Trường hợp doanh nghiệp niêm yết bị xử phạt vi phạm dữ liệu, công bố thông tin và ghi nhận BCTC ra sao?","[Generated answer for: Trường hợp doanh nghiệp niêm yết bị xử phạt vi phạm dữ liệu,...]",['Nghị định 13 quy định xử phạt; quy định CBTT yêu cầu công bố thông tin bất thường; BCTC ghi nhận chi phí phạt.'],"Phải công bố thông tin bất thường cho UBCK trong 24h (theo quy định CBTT), đồng thời ghi nhận tiền phạt và bồi thường vào chi phí khác trên báo cáo kết quả kinh doanh.",multi_context,0.5524,0.7595,0.6275,0.6888
"Nếu một công ty con ở nước ngoài xử lý dữ liệu của công dân Việt, ai phải chịu trách nhiệm và phản ánh trong BCTC hợp nhất ra sao?",[Generated answer for: Nếu một công ty con ở nước ngoài xử lý dữ liệu của công dân ...],['Nghị định 13 áp dụng cho cả tổ chức trong và ngoài nước; BCTC hợp nhất bao gồm cả công ty con nước ngoài.'],Công ty mẹ và công ty con cùng chịu trách nhiệm; chi phí compliance ghi nhận trên BCTC hợp nhất; các giao dịch nội bộ liên quan tới chuyển dữ liệu cần được thuyết minh.,multi_context,0.615,0.8473,0.5632,0.718
Việc thuê dịch vụ điện toán đám mây để lưu dữ liệu có cần đăng ký theo Nghị định 13 và phản ánh chi phí ra sao?,[Generated answer for: Việc thuê dịch vụ điện toán đám mây để lưu dữ liệu có cần đă...],['Nghị định 13 quy định đăng ký xử lý dữ liệu; BCTC ghi nhận chi phí thuê dịch vụ.'],Có thể cần đánh giá tác động và đăng ký nếu liên quan đến chuyển dữ liệu xuyên biên giới; chi phí thuê cloud ghi vào chi phí dịch vụ mua ngoài.,multi_context,0.9111,0.7792,0.593,0.9214
"Một khoản đầu tư công nghệ bảo vệ dữ liệu 50 tỷ ảnh hưởng thế nào tới chỉ số tài chính như ROA, ROE?",[Generated answer for: Một khoản đầu tư công nghệ bảo vệ dữ liệu 50 tỷ ảnh hưởng th...],['ROA = LNST/Tổng tài sản; đầu tư TSCĐ làm tăng tổng tài sản. Nghị định 13 yêu cầu đầu tư bảo vệ dữ liệu.'],"ROA và ROE có thể giảm trong ngắn hạn do tăng tổng tài sản hoặc tăng chi phí khấu hao; tuy nhiên dài hạn giúp giảm rủi ro pháp lý, cải thiện ổn định lợi nhuận.",multi_context,0.7566,0.6615,0.5668,0.8276
Khoản chi phí đào tạo nhân viên về tuân thủ Nghị định 13 nên phản ánh ở đâu?,[Generated answer for: Khoản chi phí đào tạo nhân viên về tuân thủ Nghị định 13 nên...],['BCTC: chi phí quản lý doanh nghiệp bao gồm chi phí đào tạo nhân viên; Nghị định 13 khuyến nghị đào tạo định kỳ.'],"Ghi nhận vào chi phí quản lý doanh nghiệp, hạch toán theo kỳ phát sinh.",multi_context,0.7378,0.7675,0.7294,0.5482
Kết hợp thông tin BCTC + Nghị định 13: doanh nghiệp nên ưu tiên xếp hạng rủi ro nào cao nhất?,[Generated answer for: Kết hợp thông tin BCTC + Nghị định 13: doanh nghiệp nên ưu t...],['BCTC cho thấy đòn bẩy tài chính cao; Nghị định 13 đặt ra rủi ro pháp lý mới.'],"Rủi ro tài chính (D/E cao, dòng tiền đầu tư âm lớn) và rủi ro tuân thủ dữ liệu là 2 nhóm rủi ro ưu tiên cao nhất, cần kế hoạch quản trị tích hợp.",multi_context,0.461,0.7389,0.5845,0.5349
"Nếu rò rỉ dữ liệu dẫn đến kiện tụng, doanh nghiệp xử lý kế toán khoản dự phòng thế nào và thông báo theo Nghị định 13 ra sao?","[Generated answer for: Nếu rò rỉ dữ liệu dẫn đến kiện tụng, doanh nghiệp xử lý kế t...]",['Quy định kế toán: dự phòng nợ phải trả; Nghị định 13: thông báo 72h khi rò rỉ.'],Lập dự phòng phải trả ngắn hạn hoặc dài hạn tùy thời hạn; thông báo 72h cho cơ quan có thẩm quyền và chủ thể dữ liệu; thuyết minh chi tiết trong BCTC.,multi_context,0.8507,0.779,0.4008,0.6926
Mức độ trưởng thành về bảo vệ dữ liệu của doanh nghiệp có thể đánh giá qua chỉ số nào trong BCTC?,[Generated answer for: Mức độ trưởng thành về bảo vệ dữ liệu của doanh nghiệp có th...],['BCTC: TSCĐ vô hình bao gồm phần mềm; Nghị định 13 yêu cầu đầu tư công nghệ bảo vệ.'],"Không có chỉ số trực tiếp, nhưng có thể quan sát qua: chi phí đầu tư công nghệ thông tin trong TSCĐ vô hình, chi phí thuê dịch vụ bảo mật, dự phòng nợ phải trả liên quan tới rủi ro pháp lý.",multi_context,0.6906,0.5072,0.6179,0.6137
Tỷ lệ đầu tư cho compliance dữ liệu cá nhân chiếm bao nhiêu % chi phí quản lý là hợp lý?,[Generated answer for: Tỷ lệ đầu tư cho compliance dữ liệu cá nhân chiếm bao nhiêu ...],['BCTC: chi phí quản lý; Nghị định 13: yêu cầu đầu tư compliance.'],"Theo benchmark ngành tài chính-ngân hàng, khoảng 5-10% chi phí quản lý dành cho compliance & rủi ro là mức hợp lý cho doanh nghiệp đang chuyển đổi số.",multi_context,0.6082,0.768,0.6232,0.5391
"Khi doanh nghiệp M&A một công ty xử lý nhiều dữ liệu cá nhân, due diligence cần kiểm tra gì?",[Generated answer for: Khi doanh nghiệp M&A một công ty xử lý nhiều dữ liệu cá nhân...],"['M&A due diligence bao gồm: kiểm tra pháp lý (compliance Nghị định 13) và tài chính (BCTC, nợ tiềm tàng).']","Cần kiểm tra: tình hình tuân thủ Nghị định 13, hồ sơ đánh giá tác động, lịch sử rò rỉ, hợp đồng xử lý dữ liệu với bên thứ ba; đồng thời thẩm định tài sản và nợ tiềm tàng (contingent liabilities) trong BCTC.",multi_context,0.7801,0.832,0.4431,0.6733
"Nếu công ty con vi phạm bảo vệ dữ liệu, công ty mẹ cần ghi nhận khoản nào trên BCTC hợp nhất?","[Generated answer for: Nếu công ty con vi phạm bảo vệ dữ liệu, công ty mẹ cần ghi n...]",['Nghị định 13: trách nhiệm liên đới công ty mẹ-con; BCTC hợp nhất: ghi nhận chi phí và dự phòng.'],"Ghi nhận khoản tiền phạt, bồi thường vào chi phí khác; lập dự phòng nợ phải trả nếu vụ việc đang trong quá trình giải quyết; công bố trong thuyết minh BCTC theo nguyên tắc trung thực.",multi_context,0.7204,0.9946,0.2707,0.7173
Doanh nghiệp niêm yết phải báo cáo về compliance dữ liệu ra sao trong báo cáo thường niên?,[Generated answer for: Doanh nghiệp niêm yết phải báo cáo về compliance dữ liệu ra ...],['Báo cáo thường niên: phần quản trị rủi ro; Nghị định 13: yêu cầu báo cáo định kỳ; BCTC: kê khai chi phí.'],"Phải báo cáo trong phần quản trị rủi ro của Báo cáo thường niên, bao gồm: chính sách bảo vệ dữ liệu, sự cố trong năm, biện pháp khắc phục, kế hoạch đầu tư tiếp theo, kèm chi phí trong BCTC.",multi_context,0.6741,0.687,0.8352,0.6188
